id,qb,p1,p2,opp_p1,sal,proj,actual,diff
49841,Patrick Mahomes,Tyreek Hill,Sammy Watkins,Mike Gesicki,29200,56.1,73.42,1.308734403
52851,Dak Prescott,Amari Cooper,Devin Smith,Preston Williams,26400,56.2,61.04,1.086120996
52856,Dak Prescott,Amari Cooper,Randall Cobb,Preston Williams,26500,55.8,59.44,1.065232975
52854,Dak Prescott,Amari Cooper,Devin Smith,DeVante Parker,26100,54.3,59.34,1.09281768
52858,Dak Prescott,Amari Cooper,Randall Cobb,DeVante Parker,26200,53.9,57.74,1.071243043
52859,Dak Prescott,Amari Cooper,Jason Witten,Preston Williams,26200,53.2,63.04,1.184962406
52861,Dak Prescott,Amari Cooper,Jason Witten,DeVante Parker,25900,51.3,61.34,1.195711501
49764,Justin Herbert,Keenan Allen,Mike Williams,Jamison Crowder,29000,58.2,71.54,1.229209622
49771,Justin Herbert,Keenan Allen,Mike Williams,Breshad Perriman,28100,57,81.84,1.435789474
49774,Justin Herbert,Keenan Allen,Mike Williams,Denzel Mims,27800,56.6,78.04,1.378798587
49777,Justin Herbert,Keenan Allen,Hunter Henry,Jamison Crowder,28600,56.1,69.14,1.232442068
49781,Justin Herbert,Keenan Allen,Hunter Henry,Breshad Perriman,27700,54.9,79.44,1.446994536
49784,Justin Herbert,Keenan Allen,Hunter Henry,Denzel Mims,27400,54.5,75.64,1.387889908
52407,Drew Brees,Michael Thomas,Ted Ginn Jr.,Julio Jones,30200,69,43.08,0.624347826
52415,Drew Brees,Michael Thomas,Jared Cook,Julio Jones,30700,67.6,52.98,0.783727811
52412,Drew Brees,Michael Thomas,Ted Ginn Jr.,Calvin Ridley,27600,64.5,39.88,0.618294574
52409,Drew Brees,Michael Thomas,Ted Ginn Jr.,Austin Hooper,28900,64.5,43.38,0.67255814
52417,Drew Brees,Michael Thomas,Jared Cook,Austin Hooper,29400,63.1,53.28,0.84437401
52421,Drew Brees,Michael Thomas,Jared Cook,Calvin Ridley,28100,63.1,49.78,0.788906498
49815,Russell Wilson,DK Metcalf,Tyler Lockett,Robert Woods,31800,64.7,30.92,0.477897991
49822,Russell Wilson,DK Metcalf,Tyler Lockett,Cooper Kupp,32300,64.6,32.32,0.500309598
49780,Ryan Tannehill,A.J. Brown,Corey Davis,Brandin Cooks,31100,63.5,95.04,1.496692913
49786,Ryan Tannehill,A.J. Brown,Corey Davis,Keke Coutee,29500,61.4,72.94,1.187947883
49826,Russell Wilson,DK Metcalf,Tyler Lockett,Josh Reynolds,29600,60.2,38.22,0.634883721
49789,Ryan Tannehill,A.J. Brown,Corey Davis,Chad Hansen,29000,59.5,63.54,1.06789916
49802,Ryan Tannehill,A.J. Brown,Jonnu Smith,Brandin Cooks,29200,59.4,89.94,1.514141414
49837,Russell Wilson,DK Metcalf,Tyler Lockett,Gerald Everett,29100,57.4,28.52,0.496864111
49831,Russell Wilson,DK Metcalf,Tyler Lockett,Tyler Higbee,29800,57.4,32.32,0.563066202
49806,Ryan Tannehill,A.J. Brown,Jonnu Smith,Keke Coutee,27600,57.3,67.84,1.183944154
