player,slate,salary,position,team,projection,adjusted_opportunity,value,game_total,team_total,spread,actual,diff
Julio Jones,Main-20-FD-11,8100,WR,ATL,14.7,0,0,49.5,23,3.5,4.9,0.333333333
Mike Evans,Main-20-FD-04,7400,WR,TB,14.7,0,0,42.5,25,-7.5,21.7,1.476190476
DeAndre Hopkins,Main-19-FD-14,8300,WR,HOU,14.7,0,0,42.5,25.3,-8,22.7,1.544217687
Kenny Golladay,Main-19-FD-09,7600,WR,DET,14.7,0,0,51.5,24.5,2.5,21.2,1.442176871
Tyler Lockett,Main-19-FD-08,7200,WR,SEA,14.7,0,0,48.5,28,-7.5,13,0.884353741
DeAndre Hopkins,Main-20-FD-02,8300,WR,ARI,14.7,0,1.84,46.5,27,-7.5,16.8,1.142857143
Justin Jefferson,Main-20-FD-17,8000,WR,MIN,14.6,0,0,54,28.5,-3,17.8,1.219178082
Justin Jefferson,Main-20-FD-12,7000,WR,MIN,14.6,0,0,50,26.5,-3,22.5,1.54109589
Keenan Allen,Main-20-FD-09,7500,WR,LAC,14.6,0,0,52.5,25.8,1,20.8,1.424657534
Tyler Lockett,Main-20-FD-08,7200,WR,SEA,14.6,0,0,54.5,27.8,-1,5.3,0.363013699
Adam Thielen,Main-20-FD-08,7700,WR,MIN,14.6,0,0,47,20.8,5.5,4.2,0.287671233
Tyreek Hill,Main-19-FD-14,8300,WR,KC,14.6,0,0,49.5,23.3,3,10,0.684931507
Cooper Kupp,Main-19-FD-04,7000,WR,LAR,14.6,0,0,48.5,28.8,-9,22.4,1.534246575
Allen Robinson II,Main-20-FD-15,7300,WR,CHI,14.5,0,0,46,21.25,3.5,10.3,0.710344828
Justin Jefferson,Main-20-FD-14,7800,WR,MIN,14.5,0,0,52.5,22.5,7.5,7.9,0.544827586
Keenan Allen,Main-20-FD-11,8000,WR,LAC,14.5,0,0,47,28.5,-10,26.5,1.827586207
Terry McLaurin,Main-20-FD-09,7200,WR,WAS,14.5,0,0,43,23,-3,21,1.448275862
Adam Thielen,Main-20-FD-09,7700,WR,MIN,14.5,0,0,51.5,27.5,-3.5,4.8,0.331034483
DJ Moore,Main-20-FD-04,6800,WR,CAR,14.5,0,0,52.5,24.8,3,6.9,0.475862069
DJ Moore,Main-19-FD-14,7100,WR,CAR,14.5,0,0,48,22.3,3.5,10.1,0.696551724
Davante Adams,Main-19-FD-13,8000,WR,GB,14.5,0,0,43.5,25,-6.5,21.4,1.475862069
Mike Evans,Main-19-FD-13,7700,WR,TB,14.5,0,0,46.5,24.8,-3,7.3,0.503448276
Tyreek Hill,Main-19-FD-09,7700,WR,KC,14.5,0,0,46,20.3,5.5,23.5,1.620689655
Terry McLaurin,Main-20-FD-15,6900,WR,WAS,14.4,0,0,43.5,19,6.5,11.2,0.777777778
Allen Robinson II,Main-20-FD-09,6900,WR,CHI,14.4,0,0,46.5,20,6.5,11.6,0.805555556
Keenan Allen,Main-20-FD-08,7400,WR,LAC,14.4,0,0,44.5,23.8,-3,17.2,1.194444444
Tyreek Hill,Main-19-FD-17,8200,WR,KC,14.4,0,0,46,28,-10,8.1,0.5625
Odell Beckham Jr.,Main-19-FD-06,7600,WR,CLE,14.4,0,0,45.5,23.3,-1,13.1,0.909722222
Tyreek Hill,Main-19-FD-06,7400,WR,KC,14.4,0,0,54.5,29,-3.5,22.5,1.5625
Sammy Watkins,Main-19-FD-04,6900,WR,KC,14.4,0,0,54.5,31,-7.5,4.9,0.340277778
Chris Godwin,Main-19-FD-03,7600,WR,TB,14.4,0,0,48,26.5,-5,5.5,0.381944444
Adam Thielen,Main-20-FD-14,7700,WR,MIN,14.3,0,0,52.5,22.5,7.5,5.4,0.377622378
Will Fuller V,Main-20-FD-09,7100,WR,HOU,14.3,0,0,49,28,-7,18.5,1.293706294
Julian Edelman,Main-19-FD-17,7500,WR,NE,14.3,0,0,46,31.8,-17.5,4.1,0.286713287
John Brown,Main-19-FD-08,5900,WR,BUF,14.3,0,0,39.5,20.3,-1,7.9,0.552447552
Brandon Aiyuk,Main-20-FD-15,6900,WR,SF,14.2,0,0,45,24,-3,17.8,1.253521127
Terry McLaurin,Main-20-FD-11,7300,WR,WAS,14.2,0,0,48,25,-2,10.9,0.767605634
Keenan Allen,Main-20-FD-10,7800,WR,LAC,14.2,0,0,48.5,23.5,1.5,11.4,0.802816901
Terry McLaurin,Main-20-FD-10,7000,WR,WAS,14.2,0,0,46,21.8,2.5,13.7,0.964788732
A.J. Brown,Main-20-FD-09,7600,WR,TEN,14.2,0,0,46.5,26.5,-6.5,18.1,1.274647887
Robby Anderson,Main-20-FD-07,6400,WR,CAR,14.2,0,0,49.5,21.3,7,10.4,0.732394366
Will Fuller V,Main-20-FD-07,6900,WR,HOU,14.2,0,0,55.5,26.5,2.5,11,0.774647887
A.J. Brown,Main-20-FD-06,6500,WR,TEN,14.2,0,0,52,28,-4,20.1,1.415492958
Cooper Kupp,Main-20-FD-05,7200,WR,LAR,14.2,0,0,45,26,-7,9.1,0.64084507
Allen Robinson II,Main-19-FD-17,7800,WR,CHI,14.2,0,0,36.5,20.8,-5,11.8,0.830985915
Julian Edelman,Main-19-FD-14,7600,WR,NE,14.2,0,0,49.5,26.3,-3,20.3,1.429577465
Chris Godwin,Main-19-FD-12,7800,WR,TB,14.2,0,0,51.5,24,3.5,33.9,2.387323944
Mike Evans,Main-19-FD-08,7400,WR,TB,14.2,0,0,45.5,21.8,2,37.3,2.626760563
Keenan Allen,Main-19-FD-07,7500,WR,LAC,14.2,0,0,42.5,19.8,3,8.1,0.570422535
