,start_lap,end_lap,reason,comment,race_name,series
661,50,54,Accident,#20 Incident Turn 3,UNOH 200 presented by Ohio Logistics,3
662,57,66,Competition,Stage 1 Conclusion,UNOH 200 presented by Ohio Logistics,3
663,71,79,Accident,"#51, 3, 30, 41, 12, 34, 23, 45, 04, 9 Incident Backstretch [Red Flag: 00:06:23]",UNOH 200 presented by Ohio Logistics,3
664,112,121,Competition,Stage 2 Conclusion ,UNOH 200 presented by Ohio Logistics,3
665,131,136,Accident,"#1, 11, 75 Incident Backstretch",UNOH 200 presented by Ohio Logistics,3
666,156,163,Accident,"#10, 17, 21, 23 Incident Turn 4",UNOH 200 presented by Ohio Logistics,3
667,173,177,Spin,#75 Spin Turn 2,UNOH 200 presented by Ohio Logistics,3
668,181,186,Spin,#22 Spin Turn 2,UNOH 200 presented by Ohio Logistics,3
669,190,195,Accident,"#16, 19, 22, 45, 1, 25 Incident Frontstretch [Red Flag: 00:07:37]",UNOH 200 presented by Ohio Logistics,3
670,27,30,Competition,Competition Caution,South Point 400,1
671,82,87,Competition,Stage 1 Conclusion,South Point 400,1
672,93,98,Accident,#15 Incident Turn 2,South Point 400,1
673,162,166,Competition,Stage 2 Conclusion,South Point 400,1
674,32,37,Competition,Stage 1 Conclusion,Wise Power 200,3
675,62,67,Competition,Stage 2 Conclusion,Wise Power 200,3
676,71,74,Accident,"#42, 98 Incident Turn 2",Wise Power 200,3
677,129,133,Unknown,#10 Stopped On Track,Wise Power 200,3
678,135,138,Accident,"#52, 19 Incident Backstretch",Wise Power 200,3
679,3,6,Accident,#38 Incident Turn 2,Explore the Pocono Mountains 350,1
680,32,35,Competition,Stage 1 Conclusion,Explore the Pocono Mountains 350,1
681,87,90,Competition,Stage 2 Conclusion,Explore the Pocono Mountains 350,1
682,94,96,Debris,Debris,Explore the Pocono Mountains 350,1
683,16,20,Spin,#90 Spin Turn 4,Dead On Tools 250,2
684,32,35,Competition,Competition,Dead On Tools 250,2
685,49,53,Unknown,Possible Fluid On Track,Dead On Tools 250,2
686,62,68,Competition,Stage 1 Conclusion,Dead On Tools 250,2
687,122,130,Competition,Stage 2 Conclusion,Dead On Tools 250,2
688,151,155,Debris,Debris Turn 2,Dead On Tools 250,2
689,180,184,Spin,#99 Spin Turn 2,Dead On Tools 250,2
690,187,192,Accident,"#2, 39 Incident Turn 2",Dead On Tools 250,2
691,194,200,Accident,"#52, 1, 98, 10, 02 Incident Turn 2 [Red Flag: 00:10:47]",Dead On Tools 250,2
692,202,207,Accident,"#9, 54, 20, 22 Incident Turn 4",Dead On Tools 250,2
693,219,224,Debris,Debris Backstretch,Dead On Tools 250,2
694,245,249,Spin,#11 Spin Turn 4,Dead On Tools 250,2
695,251,255,Accident,"#31, 98 Incident Turn 4",Dead On Tools 250,2
696,22,26,Competition,Competition Caution,Call 811 Before You Dig 200 presented by Arizona 811,2
697,47,56,Competition,Stage 1 Conclusion,Call 811 Before You Dig 200 presented by Arizona 811,2
698,59,62,Accident,#90 Incident Turn 4,Call 811 Before You Dig 200 presented by Arizona 811,2
