,start_lap,end_lap,reason,comment,race_name,series
132,108,114,Accident,"#1, 23 Incident Frontstretch",Goodyear 400,1
133,187,193,Competition,Stage 2 Conclusion,Goodyear 400,1
134,37,42,Competition,Competition ,Go Bowling 250 ,2
135,77,84,Competition,Stage 1 Conclusion,Go Bowling 250 ,2
136,87,91,Accident,"#44, 90 Incident Turn 2",Go Bowling 250 ,2
137,148,158,Accident,"#74, 48 Incident Turn 3 / Stage 2 Conclusion",Go Bowling 250 ,2
138,171,176,Accident,"#15, 5 Incident Turn 3",Go Bowling 250 ,2
139,183,187,Unknown,#4 Stopped On Track,Go Bowling 250 ,2
140,224,230,Accident,"#52, 92 Incident Turn 2",Go Bowling 250 ,2
141,232,236,Accident,#44 Incident Turn 1,Go Bowling 250 ,2
142,239,243,Accident,"#2, 51 Incident Frontstretch",Go Bowling 250 ,2
143,17,20,Spin,#13 Spin Turn 4,Corn Belt 150 Presented by Premier Chevy Dealers,3
144,32,36,Spin,#51 Spin Turn 3,Corn Belt 150 Presented by Premier Chevy Dealers,3
145,39,41,Spin,#62 Spin Turn 2/Stage 1 Conclusion,Corn Belt 150 Presented by Premier Chevy Dealers,3
146,66,72,Accident,"#19, 62, 44, 99 Incident Turn 3",Corn Belt 150 Presented by Premier Chevy Dealers,3
147,88,91,Spin,#51 Spin Turn 4/Stage 2 Conclusion,Corn Belt 150 Presented by Premier Chevy Dealers,3
148,93,100,Accident,"#3, 24 Incident Turn 4",Corn Belt 150 Presented by Premier Chevy Dealers,3
149,107,111,Spin,#19 Spin Turn 4,Corn Belt 150 Presented by Premier Chevy Dealers,3
150,117,121,Accident,"#40, 52 Incident Turn 4",Corn Belt 150 Presented by Premier Chevy Dealers,3
151,131,136,Unknown,#02 Flat Tire Turn 2,Corn Belt 150 Presented by Premier Chevy Dealers,3
152,140,145,Spin,#37 Spin Turn 4,Corn Belt 150 Presented by Premier Chevy Dealers,3
153,148,153,Accident,"#4, 2, 1, 13, 45 Incident Turn 2",Corn Belt 150 Presented by Premier Chevy Dealers,3
154,155,159,Accident,"#9, 15, 1, 6, 25, 26, 21, 41, 23, 04, 6, 34, 17, 2, 45, 02, 34 Incident Turn 1 [Red Flag 14:16]",Corn Belt 150 Presented by Premier Chevy Dealers,3
155,161,170,Accident,"#22, 20, 40 Incident Turn 1",Corn Belt 150 Presented by Premier Chevy Dealers,3
156,172,177,Accident,"#52, 26, 21, 13 Incident Turn 1",Corn Belt 150 Presented by Premier Chevy Dealers,3
157,155,161,Accident,"#7, 07 Incident Turn 1",Food City 300,2
158,172,179,Competition,Stage 2 Conclusion,Food City 300,2
159,199,204,Accident,#17 Incident Turn 1 ,Food City 300,2
160,239,247,Accident,"#66, 44 Incident Frontstretch",Food City 300,2
161,298,304,Accident,"#7, 8, 92 Incident Turn 2 ",Food City 300,2
162,32,36,Competition,Competition Caution,Instacart 500,1
163,47,51,Accident,"#48, #3, #42 Incident Turn 2",Instacart 500,1
164,77,83,Competition,Stage 1 Conclusion,Instacart 500,1
165,90,98,Accident,"#38, #51 Incident Turn 2",Instacart 500,1
166,192,199,Competition,Stage 2 Conclusion,Instacart 500,1
167,263,268,Accident,#8 Incident Turn 2,Instacart 500,1
168,283,287,Accident,"#18, #42 Incident Frontstretch",Instacart 500,1
169,17,20,Competition,Competition Caution,Fr8Auctions 200,3
170,32,37,Competition,Stage 1 Conclusion,Fr8Auctions 200,3
171,62,67,Competition,Stage 2 Conclusion,Fr8Auctions 200,3
172,22,25,Competition,Stage 1 Conclusion,Chevrolet Silverado 250,3
173,30,33,Accident,#28 Incident on the Backstretch,Chevrolet Silverado 250,3
174,42,47,Competition,Stage 2 Conclusion,Chevrolet Silverado 250,3
175,59,63,Accident,"#02, 04, 1, 10, 11, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 33, 34, 38, 45, 51, 75 Incident in Turn 3",Chevrolet Silverado 250,3
176,77,82,Accident,"#1, 11, 45, 52, 88, 98 Incident on the Frontstretch",Chevrolet Silverado 250,3
177,94,97,Spin,#23 Spin on the Frontstretch,Chevrolet Silverado 250,3
178,18,25,Spin,#99 Spin Turn 4 / Competition,Alsco Uniforms 300,2
179,47,52,Competition,Stage 1 Conclusion,Alsco Uniforms 300,2
180,57,62,Accident,"#1, 54, 98 Incident Turn 2",Alsco Uniforms 300,2
181,66,69,Accident,#39 Incident Frontstretch,Alsco Uniforms 300,2
182,73,76,Accident,"#11, 8 Incident Turn 3",Alsco Uniforms 300,2
183,92,97,Competition,Stage 2 Conclusion,Alsco Uniforms 300,2
184,175,179,Accident,"#20, 22 Incident Frontstretch",Alsco Uniforms 300,2
185,182,187,Accident,"#54, 02, 36, 17, 13 Incident Backstretch",Alsco Uniforms 300,2
186,12,17,Accident,"#26, 92 Incident Turn 1",Pocono Green 225 Recycled by J.P. Mascaro & Sons,2
187,22,24,Competition,Stage 1 Conclusion,Pocono Green 225 Recycled by J.P. Mascaro & Sons,2
188,26,28,Accident,"#6, 8, 11 Incident Turn 1 [Red Flag: 00:05:41]",Pocono Green 225 Recycled by J.P. Mascaro & Sons,2
189,36,38,Accident,#20 Incident Turn 1,Pocono Green 225 Recycled by J.P. Mascaro & Sons,2
190,42,44,Competition,Stage 2 Conclusion,Pocono Green 225 Recycled by J.P. Mascaro & Sons,2
191,47,49,Accident,"#98, 15 Incident Turn 2",Pocono Green 225 Recycled by J.P. Mascaro & Sons,2
192,47,52,Competition,Stage 1 Conclusion,NASCAR Xfinity Series Championship,2
193,61,65,Accident,"#0, 17, 47 Incident Backstretch",NASCAR Xfinity Series Championship,2
194,92,97,Competition,Stage 2 Conclusion,NASCAR Xfinity Series Championship,2
195,100,105,Accident,"#17, 31 Incident Turn 1",NASCAR Xfinity Series Championship,2
196,108,113,Accident,"#5, 31 Incident Turn 1",NASCAR Xfinity Series Championship,2
197,126,134,Accident,#99 Incident Frontstretch  ,NASCAR Xfinity Series Championship,2
198,136,140,Spin,#48 Spin Turn 2,NASCAR Xfinity Series Championship,2
199,182,187,Spin,#16 Spin Turn 2,NASCAR Xfinity Series Championship,2
200,189,192,Accident,"#10, 78 Incident Turn 4",NASCAR Xfinity Series Championship,2
201,195,202,Accident,"#48, 92 Incident Turn 3",NASCAR Xfinity Series Championship,2
202,22,25,Competition,Competition,Alsco Uniforms 300,2
203,28,31,Accident,"#13, 26 Incident Frontstretch",Alsco Uniforms 300,2
204,47,52,Competition,Stage 1 Conclusion,Alsco Uniforms 300,2
205,2,5,Accident,"#44, 19, 56 Incident Frontstretch",NextEra Energy 250,3
206,22,26,Competition,Stage 1 Conclusion,NextEra Energy 250,3
207,36,38,Spin,#19 Spin Turn 3,NextEra Energy 250,3
208,42,46,Competition,Stage 2 Conclusion,NextEra Energy 250,3
209,54,58,Accident,"#19, 40 Incident Turn 4",NextEra Energy 250,3
210,62,64,Accident,"#3, 22, 52 Incident Frontstretch",NextEra Energy 250,3
211,66,69,Accident,"#33, 2, 52, 26, 38 Incident Frontstretch ",NextEra Energy 250,3
212,73,78,Accident,"#38, 88, 12, 52, 45, 4 Incident Turn 2",NextEra Energy 250,3
213,82,85,Accident,#1 Incident Backstretch,NextEra Energy 250,3
214,96,99,Accident,"#26, 25, 4, 51, 24, 16, 13, 12, 28, 42  Incident Turn 2",NextEra Energy 250,3
215,47,56,Spin,#04 Spin Turn 4 / Stage 1 Conclusion,United Rentals 200,3
216,66,71,Accident,"#24, 04 Incident Turn 2",United Rentals 200,3
217,82,86,Debris,Debris Frontstretch,United Rentals 200,3
218,89,95,Accident,"#34, 15, 41, 40, 33, 25, 04, 32 Incident Frontstretch ",United Rentals 200,3
219,102,110,Competition,Stage 2 Conclusion,United Rentals 200,3
220,116,123,Accident,#10 Incident Turn 2,United Rentals 200,3
221,131,140,Accident,"#4, 22 Incident Turn 3",United Rentals 200,3
222,143,146,Accident,"#19, 45 Incident Turn 4",United Rentals 200,3
223,150,154,Accident,"#3, 24, 41 Incident Turn 4",United Rentals 200,3
224,158,163,Accident,"#75, 13 Incident Turn 3  ",United Rentals 200,3
225,178,183,Accident,"#13, 75 Incident Turn 3",United Rentals 200,3
226,186,192,Accident,"#51, 12, 98, 25, 88, 19, 30 Incident Turn 4 ",United Rentals 200,3
227,198,202,Accident,"#41, 51 Incident Frontstretch",United Rentals 200,3
228,204,204,Accident,"#38, 52 Incident Frontstretch",United Rentals 200,3
229,17,20,Competition,Competition,New Holland 250,2
230,23,26,Accident,#90 Incident Turn 4,New Holland 250,2
231,32,35,Competition,Stage 1 Conclusion,New Holland 250,2
232,37,45,Accident,"#2, 11, 18, 22, 61, 68, 07 Incident Turn 2",New Holland 250,2
233,62,66,Competition,Stage 2 Conclusion,New Holland 250,2
234,117,120,Unknown,#10 Stalled On Track,New Holland 250,2
235,123,127,Accident,"#74, 99 Incident Backstretch",New Holland 250,2
236,129,132,Accident,"#78, 15 Incident Fronstretch",New Holland 250,2
237,134,137,Accident,#54 Incident Turn 2,New Holland 250,2
238,47,53,Competition,Stage 1 Conclusion,Tennessee Lottery 250,2
239,71,75,Accident,"#99, #66 Incident Frontstretch",Tennessee Lottery 250,2
240,92,96,Competition,Stage 2 Conclusion,Tennessee Lottery 250,2
241,142,148,Debris,Debris on track,Tennessee Lottery 250,2
242,156,159,Accident,"#17, #48 Incident Turn 4",Tennessee Lottery 250,2
243,161,168,Accident,"#1, #7, #18, #22, #54 Incident Frontstretch",Tennessee Lottery 250,2
244,175,179,Accident,"#9, #11, #39 Incident Turn 4",Tennessee Lottery 250,2
245,183,187,Accident,"#4, #39 Incident Turn 2",Tennessee Lottery 250,2
246,22,24,Competition,Competition Caution,EchoPark 250,2
247,37,39,Spin,#90 Spin Turn 2,EchoPark 250,2
248,41,50,Accident,"#19, 9, 02, 22, 16, 61, 66 Incident Backstretch / Stage 1 Conclusion ",EchoPark 250,2
249,82,88,Competition,Stage 2 Conclusion,EchoPark 250,2
