player,slate,salary,position,team,projection,adjusted_opportunity,value,game_total,team_total,spread,actual,diff
Greg Olsen,Main-19-FD-04,6000,TE,CAR,11.1,0,0,47.5,21,5.5,1.5,0.135135135
Darren Waller,Main-20-FD-04,6700,TE,LV,11,0,0,53,25,3,11.3,1.027272727
Austin Hooper,Main-19-FD-10,6600,TE,ATL,11,0,0,51.5,18.8,14,9.7,0.881818182
Mark Andrews,Main-19-FD-05,6100,TE,BAL,11,0,0,44,23.8,-3.5,7,0.636363636
T.J. Hockenson,Main-20-FD-06,5700,TE,DET,10.9,0,0,52.5,27.8,-3,8.7,0.798165138
Hunter Henry,Main-19-FD-15,6400,TE,LAC,10.9,0,0,45,22,1,1.9,0.174311927
Mark Andrews,Main-19-FD-10,6800,TE,BAL,10.9,0,0,44,27.3,-10.5,20.3,1.862385321
Zach Ertz,Main-20-FD-02,6300,TE,PHI,10.9,0,1.82,46,24,-2,6.7,0.614678899
Darren Waller,Main-19-FD-16,6500,TE,OAK,10.8,0,0,45,18.8,7.5,5.7,0.527777778
Darren Waller,Main-19-FD-03,5900,TE,OAK,10.8,0,0,43,17.3,8.5,20.6,1.907407407
Tyler Higbee,Main-19-FD-15,5700,TE,LAR,10.7,0,0,48.5,24.8,-1,17.1,1.598130841
Hunter Henry,Main-19-FD-14,6400,TE,LAC,10.7,0,0,42,22.8,-3.5,10.9,1.018691589
T.J. Hockenson,Main-20-FD-14,6000,TE,DET,10.6,0,0,55.5,24,7.5,13.3,1.254716981
T.J. Hockenson,Main-20-FD-09,6000,TE,DET,10.6,0,0,51.5,24,3.5,12.4,1.169811321
Mark Andrews,Main-19-FD-16,6500,TE,BAL,10.6,0,0,48.5,29,-9.5,24.3,2.29245283
Zach Ertz,Main-20-FD-03,6200,TE,PHI,10.6,0,0,46.5,26,-5.5,10.5,0.990566038
T.J. Hockenson,Main-20-FD-11,6000,TE,DET,10.5,0,0,47,25,-3,8.8,0.838095238
Austin Hooper,Main-19-FD-16,6000,TE,ATL,10.5,0,0,48,27.8,-7.5,11.7,1.114285714
Jack Doyle,Main-19-FD-14,6300,TE,IND,10.5,0,0,46.5,21.8,3,3.7,0.352380952
T.J. Hockenson,Main-20-FD-10,6200,TE,DET,10.4,0,0,46,24.3,-2.5,2.3,0.221153846
Noah Fant,Main-20-FD-17,5700,TE,DEN,10.3,0,0,50.5,24,2.5,6.8,0.660194175
Noah Fant,Main-20-FD-09,5800,TE,DEN,10.3,0,0,50,22.8,4.5,6,0.582524272
Hunter Henry,Main-19-FD-16,6100,TE,LAC,10.3,0,0,45,26.3,-7.5,7,0.67961165
Will Dissly,Main-19-FD-04,5400,TE,SEA,10.3,0,0,49,27.3,-5.5,15.2,1.475728155
Hayden Hurst,Main-20-FD-09,5600,TE,ATL,10.2,0,0,50,27.3,-4.5,9.7,0.950980392
T.J. Hockenson,Main-20-FD-04,5400,TE,DET,10.2,0,0,51.5,24.3,3,9.9,0.970588235
Jared Cook,Main-19-FD-17,6800,TE,NO,10.2,0,0,45,29.3,-13.5,11.4,1.117647059
Mark Andrews,Main-19-FD-14,6600,TE,BAL,10.2,0,0,44,25.3,-6.5,1.9,0.18627451
Zach Ertz,Main-19-FD-08,6300,TE,PHI,10.2,0,0,39.5,19.3,1,3,0.294117647
Austin Hooper,Main-19-FD-05,6700,TE,ATL,10.2,0,0,49,22.5,4,10.6,1.039215686
Delanie Walker,Main-19-FD-04,5700,TE,TEN,10.2,0,0,46,21.3,3.5,0.9,0.088235294
Darren Waller,Main-20-FD-03,6600,TE,LV,10.2,0,0,47,20,7,1.9,0.18627451
Hunter Henry,Main-20-FD-03,6000,TE,LAC,10.2,0,0,43.5,24.8,-6,7.5,0.735294118
Hunter Henry,Main-20-FD-07,5800,TE,LAC,10.1,0,0,48,28,-8,3.8,0.376237624
Hunter Henry,Main-20-FD-04,6100,TE,LAC,10.1,0,0,42.5,17.5,7.5,4.9,0.485148515
Jared Cook,Main-19-FD-16,6600,TE,NO,10.1,0,0,49,26.3,-3.5,21.9,2.168316832
Austin Hooper,Main-19-FD-15,6200,TE,ATL,10.1,0,0,50,19.8,10.5,3.5,0.346534653
Hunter Henry,Main-19-FD-01,6100,TE,LAC,10.1,0,0,44.5,25.3,-6,8,0.792079208
Kyle Pitts,Main-21-FD-01,6000,TE,ATL,10,9.6,0,48,25.75,-3.5,5.1,0.51
Zach Ertz,Main-20-FD-05,6500,TE,PHI,10,0,0,44,18.3,7.5,1.1,0.11
Mike Gesicki,Main-20-FD-04,5700,TE,MIA,10,0,0,55,25.3,4.5,2,0.2
Tyler Higbee,Main-20-FD-04,6000,TE,LAR,10,0,0,50,31.8,-13.5,3.6,0.36
Zach Ertz,Main-19-FD-11,6200,TE,PHI,10,0,0,45,20.3,4.5,13.9,1.39
Austin Hooper,Main-19-FD-04,6400,TE,ATL,10,0,0,46,24.8,-3.5,17.5,1.75
Evan Engram,Main-19-FD-01,6400,TE,NYG,10,0,0,44,18.5,7,23.1,2.31
Zach Ertz,Main-20-FD-01,6600,TE,PHI,10,0,1.67,41.5,23.5,-5.5,9.3,0.93
T.J. Hockenson,Main-20-FD-07,5900,TE,DET,9.9,0,0,54,26.5,1,14.4,1.454545455
Darren Waller,Main-19-FD-17,6200,TE,OAK,9.9,0,0,41.5,18,5.5,13.7,1.383838384
Robert Tonyan,Main-20-FD-14,5900,TE,GB,9.8,0,0,55.5,31.5,-7.5,12.1,1.234693878
Austin Hooper,Main-19-FD-14,6600,TE,ATL,9.8,0,0,48,25.8,-3.5,4.2,0.428571429
Logan Thomas,Main-20-FD-16,6000,TE,WAS,9.7,0,0,42,20.5,1,9.8,1.010309278
Jared Cook,Main-20-FD-07,6100,TE,NO,9.7,0,0,49.5,28.3,-7,10.7,1.103092784
Tyler Higbee,Main-19-FD-17,6900,TE,LAR,9.7,0,0,46,26.5,-7,18.4,1.896907216
