,qb,rb1,rb2,rb3,wr1,wr2,wr3,wr4,wr5,te1,te2,dst,opp qb,opp rb1,opp rb2,opp rb3,opp wr1,opp wr2,opp wr3,opp wr4,opp wr5,opp te1,opp te2,opp dst
te2,0.25130531184774274,0.35830826297322826,0.3152223796886977,-0.16973238622552633,-0.17988195435063656,0.21861981963730306,0.015476927078887141,-0.10004253810193882,-0.15231391722502619,-0.1843138875350556,1.0,-0.2487133199185528,0.5380672540110248,0.10973832226181873,0.2613626885613828,-0.07987498323557071,-0.028909953529654142,0.36995852264034323,0.1689838389879582,0.046490361399551594,-0.20061345480666903,0.07452396122141018,0.4495980198000165,-0.21403569050329077
dst,0.04011047496527807,0.14920615968279094,-0.024677334667988375,-0.12931554803113982,-0.09407123825049644,-0.16716973580432906,-0.021923324618577628,-0.048966758966216606,0.1036865560695843,0.3973895372316214,-0.2487133199185528,1.0,-0.5155488338856692,-0.36615120060256157,-0.20435333894979227,0.10491868387659402,-0.09616106960820729,-0.27474194569286725,-0.1271688733803075,-0.049237687089576605,-0.15497874296088926,-0.21941776810474425,-0.21403569050329085,-0.52415471444105
opp qb,0.05501124540111983,0.14011860570804346,0.24985295860266601,0.025005173483121736,-0.049769322715554974,0.1310663023905349,0.15208425892777735,-0.05649974833552046,-0.006345418227818678,-0.083796554193435,0.5380672540110248,-0.5155488338856692,1.0,0.2182099061512618,0.09623775063450239,0.14575230885311338,0.2773150007712887,0.471167070436304,0.40108170498806195,0.1679421401392032,0.05952165999855945,0.1701475765844287,0.2513053118477427,0.040110474965277934
opp rb1,0.14011860570804335,0.22441295701311748,0.02532647807132406,0.23344461154348276,-0.13646886325988275,0.17321339848436873,0.2126929352322266,0.0103681808571255,-0.08118798077606436,-0.033729452426016195,0.10973832226181873,-0.36615120060256157,0.2182099061512618,1.0,-0.34402367583196686,-0.10631680245995673,-0.27089864508248684,0.2100917455038901,-0.007502514825756375,-0.11408456808918177,0.10168574603065306,-0.040320598848574515,0.3583082629732282,0.14920615968279102
opp rb2,0.2498529586026661,0.025326478071323984,0.05154680817005542,-0.08297288566835351,0.2954498887161814,0.18146550414324022,-0.03250570440335345,-0.1320729981337869,-0.06922748483972359,-0.09844846613075088,0.2613626885613828,-0.20435333894979227,0.09623775063450239,-0.34402367583196686,1.0,-0.16640716405418593,0.30295406308321077,0.00789692507379637,0.041814066096018884,-0.026594270781612944,-0.17293791208596204,0.06554300794586092,0.3152223796886979,-0.02467733466798845
opp rb3,0.02500517348312175,0.23344461154348273,-0.08297288566835356,-0.0019356285869036244,-0.16520623027484935,-0.08589619764195135,0.17086846129944502,0.09042560334606692,0.06678154169930148,0.05789584140386427,-0.07987498323557071,0.10491868387659402,0.14575230885311338,-0.10631680245995673,-0.16640716405418593,1.0,0.008297055746138992,0.003091873629734977,0.3750344299520765,0.12749190632998483,0.0189676061160619,-0.0024873768899438087,-0.16973238622552633,-0.1293155480311398
opp wr1,-0.04976932271555495,-0.1364688632598828,0.29544988871618144,-0.16520623027484932,0.44322313294939825,-0.04501206142839739,0.02799385392554376,0.011452255937377082,-0.01534976326535653,-0.17990719432775848,-0.028909953529654142,-0.09616106960820729,0.2773150007712887,-0.27089864508248684,0.30295406308321077,0.008297055746138992,1.0,0.18137832104258564,-0.11863691044723769,-0.0271863649318991,-0.17913081987246707,-0.16113082477541435,-0.17988195435063659,-0.09407123825049653
opp wr2,0.13106630239053488,0.17321339848436873,0.18146550414324014,-0.0858961976419513,-0.04501206142839747,-0.014113740816109136,0.07471763476494385,-0.13589157990742054,-0.10042610513616254,-0.09178459038901163,0.36995852264034323,-0.27474194569286725,0.471167070436304,0.2100917455038901,0.00789692507379637,0.003091873629734977,0.18137832104258564,1.0,0.1007979447432974,-0.20859241283649138,-0.1625141485937074,-0.1336020238559122,0.218619819637303,-0.1671697358043291
opp wr3,0.15208425892777738,0.2126929352322266,-0.03250570440335348,0.1708684612994451,0.02799385392554374,0.07471763476494392,0.1208353517232131,0.053106899636277995,-0.1983961549639704,0.1579586841609458,0.1689838389879582,-0.1271688733803075,0.40108170498806195,-0.007502514825756375,0.041814066096018884,0.3750344299520765,-0.11863691044723769,0.1007979447432974,1.0,0.3221775109836395,-0.12819230056465208,0.12422774884659406,0.015476927078887084,-0.021923324618577673
opp wr4,-0.05649974833552041,0.010368180857125485,-0.13207299813378692,0.09042560334606692,0.011452255937376908,-0.13589157990742046,0.053106899636277995,-0.1547232475887349,0.012537071064819437,0.1777639573146801,0.046490361399551594,-0.049237687089576605,0.1679421401392032,-0.11408456808918177,-0.026594270781612944,0.12749190632998483,-0.0271863649318991,-0.20859241283649138,0.3221775109836395,1.0,-0.06480274614740698,-0.055865530041946,-0.10004253810193875,-0.04896675896621671
