,race__race_name,start_lap,end_lap,reason,comment
112,Xfinity 500,379,384,Spin,#99 Spin Turn 2
113,Xfinity 500,437,443,Accident,#3 Incident Turn 2
114,Xfinity 500,456,460,Accident,"#2, 9 Incident Turn 3"
115,Xfinity 500,462,466,Accident,"#5, 47 Incident Turn 4"
116,Xfinity 500,473,477,Accident,#37 Incident Turn 2
117,Xfinity 500,495,499,Accident,"#11, 48 Incident Turn 3"
118,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,6,8,Accident,#45 Incident Turn 4
119,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,32,36,Competition,Stage 1 Conclusion
120,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,41,45,Debris,Debris on track
121,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,54,56,Unknown,#4 Stopped on Track
122,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,62,66,Competition,Stage 2 Conclusion
123,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,72,77,Accident,"#1, 2, 18, 23, 26 Incident Turn 2"
124,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,82,84,Unknown,#4 Stopped on Track
125,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,115,118,Accident,"#24, 51 Incident Turn 3"
126,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,127,130,Unknown,#42 Stopped on Track
127,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,134,134,Accident,"#56, 02 Incident Turn 2"
128,Goodyear 400,7,11,Accident,#10 Incident Backstretch
129,Goodyear 400,23,28,Accident,#18 Incident Turn 4/Competition Cuation
130,Goodyear 400,92,97,Competition,Stage 1 Conclusion
131,Goodyear 400,100,104,Accident,"#41, 38 Incident Backstretch"
132,Goodyear 400,108,114,Accident,"#1, 23 Incident Frontstretch"
133,Goodyear 400,187,193,Competition,Stage 2 Conclusion
134,Go Bowling 250 ,37,42,Competition,Competition 
135,Go Bowling 250 ,77,84,Competition,Stage 1 Conclusion
136,Go Bowling 250 ,87,91,Accident,"#44, 90 Incident Turn 2"
137,Go Bowling 250 ,148,158,Accident,"#74, 48 Incident Turn 3 / Stage 2 Conclusion"
138,Go Bowling 250 ,171,176,Accident,"#15, 5 Incident Turn 3"
139,Go Bowling 250 ,183,187,Unknown,#4 Stopped On Track
140,Go Bowling 250 ,224,230,Accident,"#52, 92 Incident Turn 2"
141,Go Bowling 250 ,232,236,Accident,#44 Incident Turn 1
142,Go Bowling 250 ,239,243,Accident,"#2, 51 Incident Frontstretch"
143,Corn Belt 150 Presented by Premier Chevy Dealers,17,20,Spin,#13 Spin Turn 4
144,Corn Belt 150 Presented by Premier Chevy Dealers,32,36,Spin,#51 Spin Turn 3
145,Corn Belt 150 Presented by Premier Chevy Dealers,39,41,Spin,#62 Spin Turn 2/Stage 1 Conclusion
146,Corn Belt 150 Presented by Premier Chevy Dealers,66,72,Accident,"#19, 62, 44, 99 Incident Turn 3"
147,Corn Belt 150 Presented by Premier Chevy Dealers,88,91,Spin,#51 Spin Turn 4/Stage 2 Conclusion
148,Corn Belt 150 Presented by Premier Chevy Dealers,93,100,Accident,"#3, 24 Incident Turn 4"
149,Corn Belt 150 Presented by Premier Chevy Dealers,107,111,Spin,#19 Spin Turn 4
150,Corn Belt 150 Presented by Premier Chevy Dealers,117,121,Accident,"#40, 52 Incident Turn 4"
151,Corn Belt 150 Presented by Premier Chevy Dealers,131,136,Unknown,#02 Flat Tire Turn 2
152,Corn Belt 150 Presented by Premier Chevy Dealers,140,145,Spin,#37 Spin Turn 4
153,Corn Belt 150 Presented by Premier Chevy Dealers,148,153,Accident,"#4, 2, 1, 13, 45 Incident Turn 2"
154,Corn Belt 150 Presented by Premier Chevy Dealers,155,159,Accident,"#9, 15, 1, 6, 25, 26, 21, 41, 23, 04, 6, 34, 17, 2, 45, 02, 34 Incident Turn 1 [Red Flag 14:16]"
155,Corn Belt 150 Presented by Premier Chevy Dealers,161,170,Accident,"#22, 20, 40 Incident Turn 1"
156,Corn Belt 150 Presented by Premier Chevy Dealers,172,177,Accident,"#52, 26, 21, 13 Incident Turn 1"
157,Food City 300,155,161,Accident,"#7, 07 Incident Turn 1"
158,Food City 300,172,179,Competition,Stage 2 Conclusion
159,Food City 300,199,204,Accident,#17 Incident Turn 1 
160,Food City 300,239,247,Accident,"#66, 44 Incident Frontstretch"
161,Food City 300,298,304,Accident,"#7, 8, 92 Incident Turn 2 "
162,Instacart 500,32,36,Competition,Competition Caution
163,Instacart 500,47,51,Accident,"#48, #3, #42 Incident Turn 2"
164,Instacart 500,77,83,Competition,Stage 1 Conclusion
165,Instacart 500,90,98,Accident,"#38, #51 Incident Turn 2"
166,Instacart 500,192,199,Competition,Stage 2 Conclusion
